ID,File_Name,Category,Type,Status,Date_Created,Last_Updated,Description,Purpose,Key_Features,Next_Steps,Notes
HJ-ID1RS3,HJ-ID1RS3-AdaptiveKanban.txt,FEATURES,Requirements,APPROVED,2026-01-29,2026-01-29,Adaptive Kanban with Device Detection,Responsive UI across desktop/tablet/mobile,Desktop drag-drop|Tablet hybrid|Mobile dropdowns,Test on multiple devices,Device detection breakpoint at 800px
HJ-ID1RS4,HJ-ID1RS4-MultiProject.txt,FEATURES,Requirements,APPROVED,2026-01-29,2026-01-29,Multi-Project Kanban with Idea/Project Groups,Allow multiple projects in same board,Project filtering|Priority sorting|Task assignment,Implement project store and filters,Add projects[] data structure
HJ-ID1RS5,HJ-ID1RS5-Authentication.txt,SECURITY,Requirements,IMPLEMENTED,2026-01-29,2026-01-29,Password Protection with Login & Session Management,User authentication and session enforcement,3-strike lockout|Login logging|Demo mode,Ready for testing,Credentials: R18/R18|Maximus/Maximus|Joel/Joel
HJ-ID1RS7,HJ-ID1RS7-AdminUI.txt,SECURITY,Requirements,NEW,2026-01-29,2026-01-29,Admin Functionality Setup,Centralized user administration,User management|Role assignment|Password management|Audit logs,Design admin dashboard,Add Admin role and modal panel
HJ-ID1RS8,HJ-ID1RS8-PrintKanban.txt,FEATURES,Requirements,NEW,2026-01-29,2026-01-29,Print Kanban Board (Column Group Export),Export board for meetings/presentations,Print full board|Print column|Landscape/portrait orientation,Design print layout,Native print API only
HJ-ID1RS9,HJ-ID1RS9-EmailColumn.txt,FEATURES,Requirements,NEW,2026-01-29,2026-01-29,Email Column Group with Person Assignment,Send column status to team members,Email modal|User role assignment|Task assignment|Email logging,Design email modal,Extend validUsers with email+roles
HJ-ID1RS10,HJ-ID1RS10-Invitations.txt,SECURITY,Requirements,NEW,2026-01-29,2026-01-29,Admin User Invitations - Send Join Requests,Streamline onboarding with invitation links,Temp credentials|Email templates|Invitation tracking|Expiration,Design invitations tab,Add clientInvitations[] storage
AI-TD1,TextDisplay.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Text Display,HTML text element reference,Paragraphs|Headings|Divs|CSS styling,N/A,Part of 10 building blocks guide
AI-TD2,TextInputForms.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Text Input Forms,HTML form element reference,Input fields|Textarea|Labels|Form organization,N/A,Part of 10 building blocks guide
AI-TD3,RadioButtons.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Radio Buttons,HTML radio button reference,Radio inputs|Grouping|Labels|Interactions,N/A,Part of 10 building blocks guide
AI-TD4,DropdownLists.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Dropdown/Select,HTML select element reference,Select tag|Option elements|Styling,N/A,Part of 10 building blocks guide
AI-TD5,Buttons.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Buttons & Interactions,HTML button reference,Button elements|Click handlers|CSS styling,N/A,Part of 10 building blocks guide
AI-TD6,LayoutRowsColumns.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Layout Rows & Columns,CSS layout reference,Flexbox|Grid|Alignment,N/A,Part of 10 building blocks guide
AI-TD7,ScrollbarsOverflow.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Scrollbars & Overflow,CSS overflow reference,Scroll property|Overflow hidden|Auto scrollbars,N/A,Part of 10 building blocks guide
AI-TD8,FramesContainers.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Frames & Containers,CSS container reference,Borders|Padding|Margins|Backgrounds,N/A,Part of 10 building blocks guide
AI-TD9,DesignStyling.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Design & Styling Basics,CSS fundamentals reference,Colors|Fonts|Sizes|Consistency,N/A,Part of 10 building blocks guide
AI-TD10,CombiningElements.txt,EDUCATION,Learning,REFERENCE,2026-01-29,2026-01-29,Basic Web Component: Combining into Pages,Page structure reference,Header/Main/Footer|Sections|Responsive,N/A,Part of 10 building blocks guide
AI-TD11,T-TODO-001.txt,PROJECT,Task,MIGRATED,2026-01-29,2026-01-29,Create GitHub Repository,Set up GitHub repo for Time project,GitHub Pages hosting|Repository configuration,Verify GitHub setup,Migrated to Kanban column 1
AI-TD12,T-TODO-002.txt,PROJECT,Task,NEW,2026-01-29,2026-01-29,Project Directory Structure,Create initial folder structure,CSS directory|JavaScript directory|Assets,Plan directory hierarchy,Define folder organization
CMD,CMD.txt,REFERENCE,Documentation,ACTIVE,2026-01-29,2026-01-29,Command Reference Guide,List all shortcuts and abbreviations,Workflow commands|Review commands|Kanban commands,Maintain as reference,Updated 2026-01-29
KANBAN,kanban.html,APPLICATION,Implementation,ACTIVE,2026-01-29,2026-01-29,Kanban Board Application,Main application file,Task management|Column filtering|User interface,Add admin features,GitHub Pages compatible
DESIGN,Design.txt,PLANNING,Documentation,ACTIVE,2026-01-29,2026-01-29,Design Documentation,Technical design specifications,HJ-ID1D4 design|HJ-ID1RS3 design,Finalize designs,Reference for implementation
REQUIREMENTS,Requirements.txt,PLANNING,Documentation,ACTIVE,2026-01-29,2026-01-29,Requirements & Specifications,Complete requirements database,All HJ-ID and AI-TD specifications,Update with implementations,Master requirements file
TODO,Todo.txt,PLANNING,Documentation,ACTIVE,2026-01-29,2026-01-29,Task Tracking,Track pending tasks and work items,Task list|Priority tracking|Status,Regular updates,Updated as work progresses
LEGENDS,Legend.txt,REFERENCE,Documentation,ACTIVE,2026-01-29,2026-01-29,Legend & Abbreviations,Explain all codes and abbreviations,ID formats|Status codes|Priority levels,Maintain current,Reference guide
INSTRUCTIONS,Instructions.txt,REFERENCE,Documentation,ACTIVE,2026-01-29,2026-01-29,Project Instructions,How-to guide for users,Setup|Usage|Troubleshooting,Keep updated,User-facing documentation
PLANNING,Planning.txt,PLANNING,Documentation,ACTIVE,2026-01-29,2026-01-29,Project Planning,Project roadmap and timeline,Phases|Milestones|Deliverables,Phase 2 planning,Strategic overview
LOGS,Login_Log.txt,TRACKING,Log,ACTIVE,2026-01-29,2026-01-29,Login Audit Trail,Track all authentication events,Login attempts|Timestamps|Usernames,Monitor security,Security audit file
LOGS,Admin_Log.txt,TRACKING,Log,TEMPLATE,2026-01-29,2026-01-29,Admin Activity Log,Track admin actions,Admin operations|Timestamps|User changes,Create template,For HJ-ID1RS7
LOGS,Email_Log.txt,TRACKING,Log,TEMPLATE,2026-01-29,2026-01-29,Email Assignment Log,Track email/task assignments,Assignments|Movements|Timestamps,Create template,For HJ-ID1RS9
LOGS,Invitations_Log.txt,TRACKING,Log,TEMPLATE,2026-01-29,2026-01-29,Invitation Tracking Log,Track invitation events,Sent|Accepted|Expired|Revoked,Create template,For HJ-ID1RS10
LOGS,Log_all.txt,TRACKING,Log,ACTIVE,2026-01-29,2026-01-29,Master Event Log,Consolidated event tracking,All system events|Comprehensive tracking,Maintain current,Complete audit trail
COMPLETED,Completed.txt,STATUS,Documentation,ACTIVE,2026-01-29,2026-01-29,Completed Tasks,Archive of finished work,Done items|Dates|Results,Archive old items,Historical reference
CANCELLED,Cancelled.txt,STATUS,Documentation,ACTIVE,2026-01-29,2026-01-29,Cancelled Tasks,Record of dropped items,Cancelled items|Reasons|Dates,Document cancellations,Historical reference
IDEAS,Idea.txt,BRAINSTORM,Documentation,ACTIVE,2026-01-29,2026-01-29,Idea Backlog,Future features and concepts,New features|Enhancements|Concepts,Review for Phase 2,Innovation tracking
TEST,TEST_PLAN.txt,TESTING,Documentation,ACTIVE,2026-01-29,2026-01-29,Test Plan,Quality assurance procedures,Test cases|Scenarios|Validation,Execute test plan,QA reference
TEST,Test.txt,TESTING,Documentation,ACTIVE,2026-01-29,2026-01-29,Test Results,Test execution log,Results|Findings|Issues,Update with results,Test tracking
TIMELINE,time_2026Q1.txt,PLANNING,Documentation,ACTIVE,2026-01-29,2026-01-29,2026 Q1 Timeline,Project schedule for Q1,Milestones|Deadlines|Phases,Update regularly,Quarterly planning
